business_date,START_DATE,END_DATE,b_value,repoLen,expo,model_rate
5/6/2025,2025-05-07,2025-05-28,0.1,0.058333333333333334,"[0.         0.00277778 0.00555556 0.00277778 0.01666667 0.025
 0.03611111 0.03888889 0.03888889 0.05555556 0.05833333 0.05833333
 0.05833333 0.05833333 0.05833333 0.05833333 0.05833333 0.03611111
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",1.1818132413813665
5/6/2025,2025-05-06,2025-05-30,0.1,0.06666666666666667,"[0.00277778 0.00277778 0.00555556 0.00277778 0.01666667 0.02777778
 0.03611111 0.04166667 0.03888889 0.05555556 0.05833333 0.06666667
 0.06388889 0.06388889 0.06388889 0.06388889 0.06388889 0.04166667
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",1.1144577796835076
5/6/2025,2025-05-07,2025-05-30,0.1,0.06388888888888888,"[0.         0.00277778 0.00555556 0.00277778 0.01666667 0.025
 0.03611111 0.03888889 0.03888889 0.05555556 0.05833333 0.06388889
 0.06388889 0.06388889 0.06388889 0.06388889 0.06388889 0.04166667
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",1.1442394122866162
5/6/2025,2025-05-07,2025-06-02,0.1,0.07222222222222222,"[0.         0.00277778 0.00555556 0.00277778 0.01666667 0.025
 0.03611111 0.03888889 0.03888889 0.05555556 0.05833333 0.06388889
 0.06388889 0.07222222 0.07222222 0.07222222 0.07222222 0.05
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",1.0742508027925388
5/6/2025,2025-05-07,2025-06-06,0.1,0.08333333333333333,"[0.         0.00277778 0.00555556 0.00277778 0.01666667 0.025
 0.03611111 0.03888889 0.03888889 0.05555556 0.05833333 0.06388889
 0.06388889 0.07222222 0.08333333 0.08333333 0.08333333 0.06111111
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",0.9886164538653253
5/6/2025,2025-05-07,2025-06-13,0.1,0.10277777777777777,"[0.         0.00277778 0.00555556 0.00277778 0.01666667 0.025
 0.03611111 0.03888889 0.03888889 0.05555556 0.05833333 0.06388889
 0.06388889 0.07222222 0.08333333 0.10277778 0.10277778 0.08055556
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",0.8631930813898256
5/6/2025,2025-05-07,2025-08-15,0.1,0.2777777777777778,"[0.         0.00277778 0.00555556 0.00277778 0.01666667 0.025
 0.03611111 0.03888889 0.03888889 0.05555556 0.05833333 0.06388889
 0.06388889 0.07222222 0.08333333 0.10277778 0.27777778 0.25555556
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",0.45898866568575264
5/6/2025,2025-05-15,2025-08-15,0.1,0.25555555555555554,"[0.         0.         0.         0.         0.         0.00277778
 0.01388889 0.01666667 0.01666667 0.03333333 0.03611111 0.04166667
 0.04166667 0.05       0.06111111 0.08055556 0.25555556 0.25555556
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",0.37088736727538546
5/6/2025,2025-08-15,2025-10-15,0.1,0.16944444444444445,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.16944444 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",0.10085202779853226
5/6/2025,2025-10-15,2025-12-15,0.1,0.16944444444444445,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.16944444 0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",0.10085202779853226
5/6/2025,2025-12-15,2026-02-17,0.1,0.17777777777777778,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.17777778 0.         0.         0.
 0.         0.         0.         0.         0.        ]",0.10089417987315233
5/6/2025,2026-02-17,2026-04-17,0.1,0.1638888888888889,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.16388889 0.         0.
 0.         0.         0.         0.         0.        ]",0.10082393944098197
5/6/2025,2026-04-17,2026-06-17,0.1,0.16944444444444445,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.16944444 0.
 0.         0.         0.         0.         0.        ]",0.10085202779853226
5/6/2025,2026-06-17,2026-08-17,0.1,0.16944444444444445,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.16944444
 0.         0.         0.         0.         0.        ]",0.10085202779853226
5/6/2025,2026-08-17,2026-10-19,0.1,0.175,"[0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.175 0.    0.    0.    0.   ]",0.10088012657578131
5/6/2025,2026-10-19,2026-12-21,0.1,0.175,"[0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.175 0.    0.    0.   ]",0.10088012657578131
5/6/2025,2026-12-21,2027-02-22,0.1,0.175,"[0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.175 0.    0.   ]",0.10088012657578131
5/6/2025,2027-02-22,2027-04-22,0.1,0.1638888888888889,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.16388889 0.        ]",0.10082393944098197
5/6/2025,2027-04-22,2027-06-22,0.1,0.16944444444444445,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.16944444]",0.10085202779853226
